Sp,Type,Obs,cloud,avgdiam,gramforb,slope,ros,sum.days.over.21,wint.days.below.neg5,evi
HOMA,Indiv,0,10,30,6,0.514499545,0.213218093,15,104,0.375713676
HOMA,Scat,0,10,30,6,0.514499545,0.213218093,15,104,0.375713676
HOMA,Vocal,0,10,30,6,0.514499545,0.213218093,15,104,0.375713676
HOMA,Indiv,0,30,10,6,0.441929877,0.193023041,18,106,0.425085902
HOMA,Scat,0,30,10,6,0.441929877,0.193023041,18,106,0.425085902
HOMA,Vocal,0,30,10,6,0.441929877,0.193023041,18,106,0.425085902
HOMA,Indiv,0,99,3,8,0.036912993,0.213218093,19,106,0.420692265
HOMA,Scat,0,99,3,8,0.036912993,0.213218093,19,106,0.420692265
HOMA,Vocal,0,99,3,8,0.036912993,0.213218093,19,106,0.420692265
HOMA,Indiv,0,90,22.5,8,0.441001058,0.166793287,15,110,0.321843028
HOMA,Scat,0,90,22.5,8,0.441001058,0.166793287,15,110,0.321843028
HOMA,Vocal,0,90,22.5,8,0.441001058,0.166793287,15,110,0.321843028
HOMA,Indiv,0,40,40,9,0.557169855,0.193023041,17,108,0.394068569
HOMA,Scat,0,40,40,9,0.557169855,0.193023041,17,108,0.394068569
HOMA,Vocal,0,40,40,9,0.557169855,0.193023041,17,108,0.394068569
HOMA,Indiv,0,85,10,7,0.508450389,0.185783505,15,112,0.260994673
HOMA,Scat,0,85,10,7,0.508450389,0.185783505,15,112,0.260994673
HOMA,Vocal,0,85,10,7,0.508450389,0.185783505,15,112,0.260994673
HOMA,Indiv,0,1,7.5,3,0.32154724,0.168370068,14,118,0.285074294
HOMA,Scat,0,1,7.5,3,0.32154724,0.168370068,14,118,0.285074294
HOMA,Vocal,0,1,7.5,3,0.32154724,0.168370068,14,118,0.285074294
HOMA,Indiv,0,100,15,6,0.626788676,0.201290146,17,114,0.257356733
HOMA,Scat,0,100,15,6,0.626788676,0.201290146,17,114,0.257356733
HOMA,Vocal,0,100,15,6,0.626788676,0.201290146,17,114,0.257356733
HOMA,Indiv,0,85,5,2,0.024288556,0.185783505,18,114,0.347599119
HOMA,Scat,NA,85,5,2,0.024288556,0.185783505,18,114,0.347599119
HOMA,Vocal,0,85,5,2,0.024288556,0.185783505,18,114,0.347599119
HOMA,Indiv,0,65,10,9,0.335400939,0.201290146,16,111,0.434318125
HOMA,Scat,0,65,10,9,0.335400939,0.201290146,16,111,0.434318125
HOMA,Vocal,0,65,10,9,0.335400939,0.201290146,16,111,0.434318125
HOMA,Indiv,0,15,50,8,0.467101306,0.166793287,17,106,0.292503953
HOMA,Scat,0,15,50,8,0.467101306,0.166793287,17,106,0.292503953
HOMA,Vocal,0,15,50,8,0.467101306,0.166793287,17,106,0.292503953
HOMA,Indiv,0,30,5,6,0.502598464,0.192483574,16,112,0.329537749
HOMA,Scat,0,30,5,6,0.502598464,0.192483574,16,112,0.329537749
HOMA,Vocal,0,30,5,6,0.502598464,0.192483574,16,112,0.329537749
HOMA,Indiv,0,85,5,7,0.020935399,0.185783505,16,121,0.296189845
HOMA,Scat,0,85,5,7,0.020935399,0.185783505,16,121,0.296189845
HOMA,Vocal,0,85,5,7,0.020935399,0.185783505,16,121,0.296189845
HOMA,Indiv,0,80,5,7,0.365714133,0.168370068,15,115,0.217826217
