Pres,Type,ID,slope,perm,max.sum,min.wint,wint.days.below.neg5,wint.days.above.0,sden.mean,sden.std,avgEVI.lag,sum.days.above.21
1,vocal,1,0.554433942,43.43877411,25.97414207,-29.99555779,107,8,577.7645264,97.71113586,0.316866487,14
1,indiv,2,0.643556416,80.36992645,25.97414207,-29.99555779,107,8,577.7645264,97.71113586,0.30853796,14
1,vocal,3,0.092056736,11.09678745,26.61338234,-30.09629822,112,8,585.5460815,89.27440643,0.259741038,16
1,both,4,0.56101352,41.69278717,28.14608955,-30.94516373,106,10,568.6929932,95.9761734,0.310184717,17
1,both,5,0.55515933,35.94713974,25.79675102,-29.88998032,105,6,577.7645264,97.71113586,0.295047313,9
1,vocal,6,0.447241813,104,25.65481377,-29.93212318,104,6,577.7645264,97.71113586,0.121071272,11
1,vocal,7,0.314380825,104,25.65481377,-29.93212318,104,6,577.7645264,97.71113586,0.121071272,11
1,vocal,8,0.596583962,104,26.21290207,-28.61846161,107,5,568.6929932,95.9761734,0.119038388,8
1,vocal,9,0.550054431,76.47800446,25.90008163,-29.28963661,112,5,568.6929932,95.9761734,0.249518231,8
1,both,10,0.685290337,104,25.90008163,-29.28963661,112,5,568.6929932,95.9761734,0.284696609,8
1,vocal,11,0.422546446,103.6320801,26.21290207,-28.61846161,107,5,568.6929932,95.9761734,0.127628729,8
1,vocal,12,0.422422498,48.84763336,26.51272011,-29.62867737,116,8,585.5460815,89.27440643,0.216667354,14
1,vocal,13,0.329430401,8.443776131,30.63021469,-33.74475098,108,8,566.4238892,111.2782669,0.479005456,25
1,both,14,0.387351274,92.30435944,30.63021469,-33.74475098,108,8,566.4238892,111.2782669,0.479005456,25
1,vocal,15,0.699419558,2.189519882,30.63021469,-33.74475098,108,8,566.4238892,111.2782669,0.492856652,25
1,vocal,16,0.351365954,18.3657074,25.65481377,-29.93212318,104,6,577.7645264,97.71113586,0.316668987,11
1,vocal,17,0.532178521,104,25.65481377,-29.93212318,104,6,577.7645264,97.71113586,0.316668987,11
1,vocal,18,0.620542705,100.0311508,25.73666382,-29.96078682,107,7,577.7645264,97.71113586,0.425354302,12
1,indiv,19,0.639057577,100.0311508,25.73666382,-29.96078682,107,7,577.7645264,97.71113586,0.425354302,12
1,vocal,20,0.639057577,100.0311508,25.73666382,-29.96078682,107,7,577.7645264,97.71113586,0.425354302,12
1,vocal,21,0.317311078,15.5478735,26.48130035,-35.64003754,118,8,604.1850586,74.03622437,0.219392851,14
1,both,22,0.382988095,14.5257206,26.48130035,-35.64003754,118,8,604.1850586,74.03622437,0.219392851,14
1,both,23,0.467069775,23.55154419,26.2874012,-40.66508865,119,8,604.1850586,74.03622437,0.199310362,16
1,both,24,0.698226154,104,26.2874012,-40.66508865,119,8,604.1850586,74.03622437,0.199310362,16
1,vocal,25,0.433802187,89.75384521,26.59366798,-29.38847351,117,8,585.5460815,89.27440643,0.312213659,16
1,indiv,26,0.501237512,40.03282547,26.59366798,-29.38847351,117,8,585.5460815,89.27440643,0.32254532,16
1,indiv,27,0.549557686,8.492136955,28.41845512,-31.95611763,106,9,577.7645264,97.71113586,0.466589808,19
1,vocal,28,0.504771113,104,26.64841843,-31.08601189,111,8,583.6119995,88.20030212,0.129751414,14
1,vocal,29,0.175982237,65.44622803,26.48130035,-35.64003754,118,8,581.1414185,92.9009552,0.295203447,14
1,both,30,0.450692624,104,26.70011711,-35.63000107,118,8,581.1414185,92.9009552,0.179707006,13
1,vocal,31,0.183540076,104,27.30626106,-41.20999908,114,9,601.8878174,73.07639313,0.288620919,15
1,indiv,32,0.327583879,104,27.16136551,-32.91667938,110,8,601.8878174,73.07639313,0.242391676,15
1,vocal,33,0.43348369,28.41574478,26.18279076,-40.65000153,113,8,604.1850586,74.03622437,0.179129615,17
