Pres,Type,ID,max.sum,min.wint,wint.days.below.neg5,wint.days.above.0,perm,sden.mean,sden.std,avgEVI.lag,slope,sum.days.above.21
1,indiv,1,25.97414207,-29.99555779,107,8,17.8609333,165.0757188,27.91757556,0.340544647,0.530601442,14
1,both,2,26.53244019,-30.081604,109,8,20.9744072,165.0757188,27.91757556,0.305447221,0.496845454,16
1,vocal,3,26.27435875,-30.0451355,110,8,12.78261375,165.0757188,27.91757556,0.449491948,0.402843684,16
1,vocal,4,25.79675102,-29.88998032,105,6,104,165.0757188,27.91757556,0.278110082,0.440381527,9
1,both,5,25.97462082,-29.57665825,110,4,104,162.4838596,27.42187316,0.095588626,0.365600616,7
1,vocal,6,25.97462082,-29.57665825,110,4,104,162.4838596,27.42187316,0.095588626,0.536916018,7
1,vocal,7,28.24575996,-31.31449318,110,10,95.29749298,162.4838596,27.42187316,0.322911079,0.16087988,17
1,vocal,8,26.18955803,-29.57800102,110,4,104,162.4838596,27.42187316,0.104442851,0.510340631,9
1,both,9,26.51272011,-29.62867737,116,8,24.5418148,167.2990157,25.50706813,0.216667348,0.470199794,14
1,both,10,30.35371971,-33.94701767,106,8,18.72891235,161.8356437,31.79396021,0.479699932,0.399227589,24
1,indiv,11,30.35371971,-33.94701767,106,8,13.20760345,161.8356437,31.79396021,0.479005441,0.466698438,24
1,vocal,12,25.73666382,-29.96078682,107,7,37.02512741,165.0757188,27.91757556,0.398203661,0.393707514,12
1,vocal,13,27.02391052,-31.24786377,116,8,104,166.7464277,25.20018355,0.286021988,0.023536125,16
1,vocal,14,27.40025711,-41.20999908,110,9,24.1427002,171.9680909,20.87906532,0.338765031,0.135436237,16
1,vocal,15,26.80775642,-37.1398468,113,9,103.6774292,172.6244362,21.15329319,0.129233734,0.396633834,18
1,vocal,16,26.18279076,-40.65000153,113,8,64.76101685,172.6244362,21.15329319,0.179129609,0.424591362,17
1,indiv,17,26.18279076,-40.65000153,113,8,25.58837509,172.6244362,21.15329319,0.13553938,0.315457463,17
1,indiv,18,26.18279076,-40.65000153,113,8,95.35810089,172.6244362,21.15329319,0.13553938,0.330270022,17
1,both,19,26.18279076,-40.65000153,113,8,95.35810089,172.6244362,21.15329319,0.13553938,0.295324832,17
1,vocal,20,26.23739433,-30.40625381,114,8,51.17749405,171.9680909,20.87906532,0.247457209,0.071367756,13
1,vocal,21,25.43582344,-36.84471512,118,7,104,172.6244362,21.15329319,0.097583222,0.610252142,12
1,indiv,22,26.89253998,-41.20999908,114,8,96.75036621,171.9680909,20.87906532,0.254090856,0.449610293,13
1,indiv,23,26.3764286,-42.52480316,103,0,24.94395065,165.0757188,27.91757556,0.348251519,0.379914939,9
1,vocal,24,31.19561005,-58.47000122,111,0,104,167.2990157,25.50706813,0.285066608,0.11849957,14
1,both,25,28.12694359,-42.71843338,113,0,46.16180801,162.4838596,27.42187316,0.114907111,0.317255825,8
1,indiv,26,28.12694359,-42.71843338,113,0,52.96595383,162.4838596,27.42187316,0.114907111,0.549224257,8
1,vocal,27,30.98077583,-58.47000122,111,0,56.54321671,167.2990157,25.50706813,0.171848692,0.365263075,14
1,vocal,28,31.19561005,-58.47000122,111,0,8.439660072,167.2990157,25.50706813,0.285066608,0.58124733,14
1,indiv,29,27.70174789,-42.81393433,108,0,103.3778915,162.4838596,27.42187316,0.130627298,0.52414,8
1,both,30,27.18829346,-42.76778793,105,0,104,162.4838596,27.42187316,0.157204742,0.610756636,9
1,both,31,26.3764286,-42.52480316,103,0,34.26916122,165.0757188,27.91757556,0.348251519,0.343224943,9
1,indiv,32,26.3764286,-42.52480316,103,0,26.4322567,165.0757188,27.91757556,0.348251519,0.550948381,9
1,vocal,33,30.90258217,-38.84028244,100,0,4.927975655,167.2990157,25.50706813,0.259283748,0.447036117,16
0,NA,34,27.30626106,-41.20999908,114,9,3.382633924,171.9680909,20.87906532,0.409244061,0.385715783,15
0,NA,35,25.93713188,-33.51093674,112,8,48.28574371,166.0405743,26.54323883,0.246944658,0.161727175,14
0,NA,36,25.80914116,-37.1369133,111,7,104,172.6244362,21.15329319,0.241960648,0.306864083,11
0,NA,37,31.33054924,-58.47000122,111,0,20.75402451,167.2990157,25.50706813,0.163318127,0.089619674,14
0,NA,38,30.31380272,-36.8904953,106,0,47.00099945,167.2990157,25.50706813,0.336837113,0.571949363,14
0,NA,39,26.32674408,-29.81665039,117,8,70.89859009,166.6354951,25.51313653,0.277687788,0.583706558,14
0,NA,40,26.31354904,-36.57884216,115,8,104,166.0405743,26.54323883,0.242827967,0.02076783,15
0,NA,41,27.73044205,-42.32450867,100,0,7.930598736,165.0757188,27.91757556,0.468588583,0.422103673,12
0,NA,42,26.08672714,-40.67617798,116,8,45.28554916,172.6244362,21.15329319,0.302131182,0.206244484,16
0,NA,43,28.31393433,-31.72006989,107,10,22.03237534,162.4838596,27.42187316,0.316125959,0.081842825,16
0,NA,44,26.19300842,-33.16601944,111,8,12.15599251,166.0405743,26.54323883,0.29178415,0.120425224,13
0,NA,45,26.61338234,-30.09629822,112,8,19.75613022,167.2990157,25.50706813,0.358944088,0.321934968,16
0,NA,46,26.83292007,-31.10449219,114,8,25.89006805,166.7464277,25.20018355,0.418501327,0.251176775,15
0,NA,47,26.51272011,-29.62867737,116,8,13.28979778,167.2990157,25.50706813,0.237097235,0.378027856,14
0,NA,48,26.42842293,-32.79990768,109,8,58.72436142,166.0405743,26.54323883,0.27105432,0.114407495,13
0,NA,49,29.24218559,-43.20653534,106,0,59.97702408,162.4838596,27.42187316,0.354891211,0.067809448,16
0,NA,50,26.18279076,-40.65000153,113,8,104,172.6244362,21.15329319,0.148125608,0.339781702,17
0,NA,51,26.61338234,-30.09629822,112,8,90.09764099,167.2990157,25.50706813,0.327403396,0.605344057,16
0,NA,52,27.71993065,-32.55891037,112,9,34.11252213,161.3010125,26.31493268,0.329443413,0.522153497,14
0,NA,53,27.72097015,-34.75,110,8,57.02855682,171.9680909,20.87906532,0.369281393,0.023904311,20
0,NA,54,28.29719353,-42.90240479,98,0,20.40672302,165.0757188,27.91757556,0.378912379,0.105363071,17
0,NA,55,31.19561005,-58.47000122,111,0,23.31122589,167.2990157,25.50706813,0.203773983,0.285985023,14
