cloud,avgdiam,gramforb,slope,perm,snow,heat,Indiv,Scat,Vocal,ARGS.cooccur,HOA.cooccur
100,20,4,0.487946719,41.29102707,565.6580811,18,0,0,0,0,0
100,20,4,0.551492512,16.51456833,591.3189697,16,0,0,0,0,0
65,10,9,0.335400939,15.78956318,601.8878174,16,0,0,0,0,0
100,0.2,5,0.400073171,41.4341774,601.8878174,18,0,0,0,0,0
100,15,6,0.626788676,80.92250061,601.8878174,17,0,0,0,0,0
75,1,5,0.03092749,93.13404083,601.8878174,15,0,0,0,0,0
75,3,8,0.242757365,104,601.8878174,15,0,0,0,0,0
75,5,4,0.603817761,39.13542557,601.8878174,15,0,0,0,0,0
70,40,3,0.327583879,104,601.8878174,15,1,0,1,0,0
65,10,2,0.480416924,104,601.8878174,15,0,0,0,0,0
85,5,3,0.339217722,104,601.8878174,15,0,0,0,0,0
50,15,3,0.596895754,104,601.8878174,15,0,0,0,0,0
40,2,3,0.587533236,104,601.8878174,15,0,0,0,0,0
50,15,5,0.454868406,104,601.8878174,15,0,0,0,0,0
100,10,5,0.502055526,30.38487816,601.8878174,16,0,0,0,0,0
100,10,3,0.38308832,104,601.8878174,13,0,0,0,0,0
100,50,6,0.493843436,79.11937714,601.8878174,13,0,1,1,0,1
0,1,1,0.60679543,104,604.1850586,18,0,0,0,0,0
70,2,3,0.428510845,104,604.1850586,11,0,0,0,0,0
1,12.5,3,0.52591908,103.7380219,604.1850586,18,0,0,1,1,1
5,3,1,0.503297806,104,604.1850586,17,0,0,1,0,0
10,3,1,0.652466714,104,604.1850586,11,0,0,0,0,0
100,3,3,0.683332205,104,581.1414185,14,0,0,0,0,0
15,3,2,0.618944764,104,604.1850586,17,0,0,0,0,0
95,3,6,0.438929886,81.06851196,581.1414185,14,0,0,0,0,0
80,5,7,0.365714133,104,581.1414185,15,0,0,0,0,0
100,3,4,0.651679873,104,581.1414185,15,0,0,0,0,0
50,5,3,0.696598947,104,581.1414185,15,0,0,0,0,0
95,6,2,0.659336984,104,604.1850586,12,0,0,0,0,0
1,7.5,3,0.32154724,104,581.1414185,14,0,0,0,0,0
80,3,3,0.65205127,100.5537186,604.1850586,16,0,0,0,0,0
10,2,2,0.628627419,104,581.1414185,13,0,0,0,0,0
5,5,2,0.602783084,104,581.1414185,13,0,0,1,1,0
100,5,2,0.57624507,34.92366028,604.1850586,15,0,0,0,0,0
65,70,9,0.528331518,22.48359299,583.6119995,16,0,0,0,0,0
10,7.5,2,0.66477567,104,583.6119995,13,0,0,0,0,0
80,2,0,0.588942528,104,583.6119995,12,0,0,0,0,0
55,2,5,0.340958446,104,583.6119995,14,0,0,0,0,0
95,2,9,0.424053431,9.793392181,583.6119995,14,0,0,0,0,0
85,10,7,0.508450389,39.96253586,583.6119995,15,0,0,1,1,0
85,5,7,0.020935399,65.1902771,583.6119995,16,0,0,0,0,0
85,5,2,0.024288556,101.022789,583.6119995,18,0,0,0,0,0
90,1,10,0.238267943,17.08905792,598.8708496,12,0,0,0,0,0
15,12.5,4,0.575503051,1.40014267,583.6119995,17,0,0,0,0,0
20,30,4,0.519579768,103.8512421,585.5460815,17,0,0,0,0,0
80,15,8,0.708142996,90.3678894,585.5460815,16,0,0,0,0,0
100,3,4,0.533588767,32.18488693,585.5460815,15,0,0,0,0,0
30,5,6,0.502598464,31.94662476,585.5460815,16,0,0,1,1,0
20,10,6,0.631916225,86.3393631,585.5460815,16,0,0,0,0,0
90,2,5,0.638800263,104,585.5460815,14,0,0,0,0,0
90,10,2,0.622590721,103.7191086,585.5460815,14,0,0,0,0,0
10,3,3,0.645077825,103.1622314,585.5460815,16,0,1,0,1,0
40,5,7,0.48638773,5.442288399,583.2237549,14,0,0,0,0,0
60,2,2,0.833452463,100.0809708,583.2237549,14,0,0,0,0,0
30,10,6,0.441929877,27.85393906,566.6515503,18,0,0,0,0,0
85,4,5,0.136366382,104,583.2237549,13,0,0,1,0,0
40,40,9,0.557169855,20.69056129,566.6515503,17,0,0,0,0,0
70,11,6,0.459192336,10.93584633,566.6515503,17,0,0,0,0,0
100,2,8,0.477544457,49.02074814,577.7645264,16,0,0,0,0,0
