cloud,avgdiam,gramforb,slope,ros,evi,cold,heat,Indiv,Scat,Vocal,ARGS.cooccur,COPI.cooccur
100,20,4,0.487946719,0.131379485,0.424436808,107,18,0,0,0,0,0
100,20,4,0.551492512,0.173289999,0.206231892,112,16,0,0,0,0,0
65,10,9,0.335400939,0.201290146,0.434318125,111,16,0,0,0,0,0
100,0.2,5,0.400073171,0.201290146,0.232922375,114,18,0,0,0,0,0
100,15,6,0.626788676,0.201290146,0.257356733,114,17,0,0,0,0,0
75,1,5,0.03092749,0.201290146,0.323652685,110,15,0,0,0,0,0
75,3,8,0.242757365,0.201290146,0.2818591,114,15,0,0,0,0,0
75,5,4,0.603817761,0.201290146,0.2818591,114,15,0,0,0,0,0
70,40,3,0.327583879,0.201290146,0.242391676,110,15,0,0,0,0,0
65,10,2,0.480416924,0.201290146,0.242391676,110,15,0,0,0,0,0
85,5,3,0.339217722,0.201290146,0.242873728,110,15,0,0,0,0,0
50,15,3,0.596895754,0.201290146,0.237697572,110,15,0,0,0,0,0
40,2,3,0.587533236,0.201290146,0.25301832,110,15,0,0,0,0,0
50,15,5,0.454868406,0.201290146,0.25301832,110,15,0,0,0,0,0
100,10,5,0.502055526,0.201290146,0.253562152,115,16,0,0,0,0,0
100,10,3,0.38308832,0.201290146,0.25832656,116,13,0,0,0,0,0
100,50,6,0.493843436,0.201290146,0.189577669,116,13,0,1,1,0,1
0,1,1,0.60679543,0.219728872,0.129233733,113,18,0,0,1,0,0
70,2,3,0.428510845,0.219728872,0.089565262,112,11,0,0,0,0,0
1,12.5,3,0.52591908,0.219728872,0.135539383,113,18,0,0,1,1,1
5,3,1,0.503297806,0.219728872,0.135539383,113,17,0,0,0,0,0
10,3,1,0.652466714,0.219728872,0.216593131,112,11,0,0,0,0,0
100,3,3,0.683332205,0.168370068,0.090531245,116,14,0,0,0,0,0
15,3,2,0.618944764,0.219728872,0.148125604,113,17,0,0,0,0,0
95,3,6,0.438929886,0.168370068,0.244412392,116,14,0,0,0,0,0
80,5,7,0.365714133,0.168370068,0.217826217,115,15,0,0,0,0,0
100,3,4,0.651679873,0.168370068,0.157141954,117,15,0,0,0,0,0
50,5,3,0.696598947,0.168370068,0.264661998,117,15,0,0,0,0,0
95,6,2,0.659336984,0.219728872,0.097583219,118,12,0,0,0,0,0
1,7.5,3,0.32154724,0.168370068,0.285074294,118,14,0,0,0,0,0
80,3,3,0.65205127,0.219728872,0.205721796,119,16,0,0,0,0,0
10,2,2,0.628627419,0.168370068,0.161313131,118,13,0,0,0,0,0
5,5,2,0.602783084,0.168370068,0.25442186,109,13,0,0,0,0,0
100,5,2,0.57624507,0.219728872,0.246549845,120,15,0,0,0,0,0
65,70,9,0.528331518,0.185783505,0.346110463,113,16,0,0,1,1,0
10,7.5,2,0.66477567,0.185783505,0.163144916,118,13,0,0,0,0,0
80,2,0,0.588942528,0.185783505,0.136752397,110,12,0,0,0,0,0
55,2,5,0.340958446,0.185783505,0.129751414,111,14,0,0,0,0,0
95,2,9,0.424053431,0.185783505,0.203030571,111,14,0,0,0,0,0
85,10,7,0.508450389,0.185783505,0.260994673,112,15,0,0,0,0,0
85,5,7,0.020935399,0.185783505,0.296189845,121,16,0,0,0,0,0
85,5,2,0.024288556,0.185783505,0.347599119,114,18,0,0,0,0,0
90,1,10,0.238267943,0.223077491,0.291992545,122,12,0,0,0,0,0
15,12.5,4,0.575503051,0.185783505,0.298387617,101,17,0,0,0,0,0
20,30,4,0.519579768,0.192483574,0.107444249,106,17,0,0,0,0,0
80,15,8,0.708142996,0.192483574,0.312213659,117,16,0,0,0,0,0
100,3,4,0.533588767,0.192483574,0.401205659,115,15,0,0,0,0,0
80,10,NA,0.750945091,0.192483574,0.256461948,117,16,0,0,0,0,0
30,5,6,0.502598464,0.192483574,0.329537749,112,16,0,0,0,0,0
20,10,6,0.631916225,0.192483574,0.252654195,112,16,0,0,0,0,0
90,2,5,0.638800263,0.192483574,0.265045017,116,14,0,0,0,0,0
90,10,2,0.622590721,0.192483574,0.210534349,116,14,0,0,0,0,0
10,3,3,0.645077825,0.192483574,0.327403396,112,16,0,0,0,0,0
40,5,7,0.48638773,0.187509179,0.277687788,117,14,0,0,0,0,0
60,2,2,0.833452463,0.187509179,0.278548419,116,14,0,0,0,0,0
30,10,6,0.441929877,0.193023041,0.425085902,106,18,0,0,0,0,0
85,4,5,0.136366382,0.187509179,0.181294575,109,13,0,0,0,0,0
40,40,9,0.557169855,0.193023041,0.394068569,108,17,0,0,0,0,0
70,11,6,0.459192336,0.193023041,0.427146554,93,17,0,0,0,0,0
100,2,8,0.477544457,0.213218093,0.315073729,109,16,0,1,0,1,0
100,30,10,0.550895572,0.213218093,0.466589808,106,19,0,0,0,0,0
85,20,6,0.533782959,0.213218093,0.340544641,107,14,0,1,0,0,0
75,10,8,0.482699871,0.213218093,0.30853796,107,14,0,0,0,0,0
75,20,6,0.563928962,0.213218093,0.316866487,107,14,0,0,0,0,0
40,15,7,0.512043178,0.213218093,0.330728829,107,14,0,0,0,0,0
10,30,6,0.514499545,0.213218093,0.375713676,104,15,0,0,0,0,0
45,50,8,0.544538915,0.213218093,0.425354302,107,12,0,0,0,0,0
99,3,8,0.036912993,0.213218093,0.420692265,106,19,0,0,0,0,0
10,30,6,0.442061454,0.213218093,0.224794164,104,11,0,0,0,0,0
100,10,3,0.44554764,0.213218093,0.121071272,104,11,0,0,0,0,0
80,30,6,0.469789177,0.213218093,0.2501477,105,9,0,0,0,0,0
70,60,2,0.622602165,0.213218093,0.220699832,105,9,0,0,0,0,0
20,10,8,0.542961061,0.193446085,0.33987093,104,17,0,0,0,0,0
5,12.5,5,0.427852988,0.166793287,0.13793087,106,8,0,0,0,0,0
95,NA,2,0.018330712,0.18989867,0.335977674,107,17,0,0,0,0,0
100,50,2,0.541517377,0.166793287,0.119038388,107,8,0,0,0,0,0
100,40,6,0.381694764,0.166793287,0.119038388,107,8,0,0,1,0,0
95,60,4,0.679415941,0.166793287,0.111382425,110,9,1,1,1,0,1
100,10,1,0.451921552,0.166793287,0.049277928,110,9,0,0,0,0,0
25,15,3,0.254919231,0.166793287,0.095588624,110,7,0,0,0,0,0
15,50,8,0.467101306,0.166793287,0.292503953,106,17,0,0,0,0,0
5,80,6,0.449230522,0.166793287,0.249518231,112,8,0,0,0,0,0
5,80,5,0.685290337,0.166793287,0.284696609,112,8,0,0,0,0,0
90,22.5,8,0.441001058,0.166793287,0.321843028,110,15,0,0,0,0,0
0,60,8,0.472923368,0.166793287,0.284696609,112,8,0,0,0,0,0
100,NA,4,0.510748982,0.131431028,0.321160048,108,15,0,0,0,0,0
